CO2 Emission Saved (ton),Equivalent Trees Plant (trees),Total Income ($)
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
,,
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
,,
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
,,
,,
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
,,
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
0.04,0.07,7.53
