institute_code,institute_name,address,mobile_no,ein,email,division
50036,Sheikh Fazilatunecha Mujib Mohila Technical Training Center,"Mirpur Road, Darussalam, Dhaka-1216",,,fazilatunecha@gmail.com,DHAKA
59162,Kishoregonj Technical Training Center,"Katabaria, Kishoregonj",1818959342,,ttc.kishor2016@gmail.com,DHAKA
70082,"A K Khan UCEP Kalurghat Technical School,Chattagram","Moulavi Bazar, Wasa Road, Mohora Kalurghat, Chittagong",,,,CHITTAGONG
39062,"A. M. Technical Training Academy (AMTTA), Bauphal, Patuakhali","Bauphal, Patuakhali",1715847801,,amtta99@gmail.com,BARISAL
17181,"A. R. & SONS TRAINING CENTER, Ullipur,Kurigram","Station Road, Munsi Para. Ulipur, Kurigram",,,badolconzumer@gmail.com,RANGPUR
50986,"ABCL IT AND TRAINING INSTITUTE (ABCL), DHAKA","L R Bhaban (4th Floor), 1/2 Outer Circular Road, Malibagh Chowrasta, Dhaka -1217,",1701488322,,,DHAKA
50755,"Academy of Ellen, Badda, Dhaka","House No 7,Road 16,DITProject, Merul Badda,Dhaka",,,mail@ellenbd.com,DHAKA
50939,"Academy of Ellen (AOE), Zigatola, Dhaka","67/2, Zigatola, Dhaka-1209",1838123466,,dreamtouch@hotmail.com,DHAKA
50819,"ADN Institute of Technology and Skill Development (AITSD), Dhanmondi, Dhaka","Malancha Green Road, House #58, Road 3/A, Dhanmondi, Dhaka",,,md@adnedu.com,DHAKA
50888,"Ahasani Mission Vocationational Training Institute, Mirpur","Plot No. M-1/C, Mirpur-14, Dhaka-1206",,,damvti Mirupur@ gmail.com,DHAKA
33193,"Ahsania Mission Vocational Training Institute, Jessore","Vakutia, Jessore",,,dambdg@gmail.com,KHULNA
50281,"Ahsania Mission Syed Sadat Ali Memorial Education & Vocational Training Centre, Mohammadpur, Dhaka","PC Culture Housing Society, Shyamoli, Mohammadpur, Dhaka",,,masud_hossain74@yahoo.com,DHAKA
50883,"Ahsania Mission VTI for WC, Pallabi, Dhaka","H # b-91, R # 02, Eastern Housing, Pallabi",1738106564,,damvtipallabidhaka@gmail.com,DHAKA
54298,"AJIYER Tourism and Hospitality Training Institute, Delduar, Tangail","Vill. Bishapur, P.O Patharail, P.S Delduar, Tangail",,,shamim@ajiyer.com,DHAKA
47072,"Akhtar Technical Institute (ATI), Rajbari","Kalukhali, Rajbari",1844079005,,akhtar.technical.institute@gmail.com,DHAKA
50011,"Akhter Furniture Academy, Baridhara, Dhaka",4609 Solemain,,,akther.furniture.academi@gmail.com,DHAKA
50734,"AKS Khan Center for Excellence (ACE), Dhka Rupayan Prime(6th Floor), Dhanmondi, Dhaka","Ground Floor, House No-2, Road 07, Dhanmondi, R/A, Dhaka",,,zahangir.alam.edu.bd,DHAKA
50734,"AKS Khan Centre for Excellence (ACE),Dhaka- 1205","House-02,Road-07, RUPAYUN PRIME (6TH FLOOR) ,Dhanmondi R/A,Dhaka- 1205,",1712290292,,nazrulislam@ace.edu.bd,DHAKA
48089,"Akther Furniture Academy, Singair, Manikganj","Singair, Manikganj",1711401895,,akhter.furniture.academi@gmail.com,DHAKA
50582,"Al Islam Technical and Educational Institute, Aushila, Savar, Dhaka","Aushilia, Savar",1985903055,,alislam.institute@gmail.com,DHAKA
13190,"Anowara Vocational Training Institute, Dinajpur",Dinajpur,,,marfatnew@gmail.com,RANGPUR
16221,"Aroni Eco Center for Skill Development (AECSD), Rangpur","Kellabanda, CO Bazar, Rangpur Sadar, Rangpur",1713766360,,aecsd.rangpur@gmail.com,RANGPUR
50821,"Asia Technical Training Center, Mirpur-1, Dhaka","149/9/C, Shahali Bag, Mirpur-1, Dhaka-1216",1711528934,,asiatechnical@yahoo.com,DHAKA
50735,"ATAB Tourism Training Institute (ATTI), Dhaka","Sattara Center (15th Floor), 30/A, Naya Paltan VIP Road, Dhaka-1000.",,,atab@citch.net atti.atab@gmail.com,DHAKA
50926,"AYAT Care Training Institute (ACTI), Dhaka","89/12, R K Mission Road, Manik Nagar Biswa Road, Dhaka",1713036999,,rabeya.k@ayatskills.com,DHAKA
50563,"AYAT Skill Development Center(ASDC),Savar, Dhaka","Ashulia, Savar, Dhaka",1713036999,,nusratferozaman@gmail.com,DHAKA
73002,Bandarban Technical School and College,Bandarban,,,,CHITTAGONG
73004,"Bandarban Technical Training Center (TTC), Bandarban","Meghla, Bandarban",1814102512,,bandarbanttc@yahoo.com,CHITTAGONG
23147,"Bandhu Computer Training Center, Rajshahi","UP Road, Puthia,, Rajshahi",1716123696,,bccazad@gmail.com,RAJSHAHI
50466,"Bangladesh Association for the Aged and Institute of Geriatric Medicine (BAAIGM), Dhaka,","E-10, Probin Bhaban, Agargaon, Sherebangla Nagar, Dhaka-1207",1619116263,,mohsinkabir13@gmail.com,DHAKA
50037,"Bangladesh German Technical Training Centre, Mirpur, Dhaka","Mirpur-2, Dhaka",1715158153,,,DHAKA
50890,"Bangladesh Industrial and Technical Assistance Center (BITAC), Dhaka","Teajgaon, Dhaka",1711443290,,marfatnew@gmail.com,DHAKA
50003,"Bangladesh Institute of Glass and Ceramic, Dhaka","Tejgaon, Dhaka",,,principal_bigc@yahoo.com,DHAKA
20100,"Bangladesh Institute of Information Technology, Bogura",Bogra,,,marfatnew@gmail.com,RAJSHAHI
51333,"Bangladesh Institute of Marine Technology (BIMT), Narayanganj","Sonakhanda, Bandar, Narayanganj",1556305835,,bimt.principal@gmail.com,DHAKA
70021,"Bangladesh Korea Technical Training Center, Chittagong",CHITTAGONG,,,,CHITTAGONG
50403,"Bangladesh Korea Technical Training Centre, Dhaka",Mirpur,,,marfatnew@gmail.com,DHAKA
50823,"Bangladesh Skill Development Institute (BSDI), Dhaka","House 2B, Road-12, Mirpur Road, Dhanmondi, Dhaka-1209",1713493248,,ansarul@bsdi-bd.org,DHAKA
50100,"Bangladesh Technical Education Board, Dhaka","Agargaon, Sher-E-Bangla Nagar, Dhaka-1207",1715915472,,cbtbteb@gmail.com,DHAKA
61112,"Bangladesh Technical Training and Development Centre (BTTDC), Sylhet","Niloy-3, Chowha",1711342594,,nazrul.canfly@yahoo.com,SYLHET
38093,"Barguna Technical Training Center (TTC), Barguna","Police Line Road, Barguna",1741247773,,borgunattc@yahoo.com,BARISAL
42045,Barisal Polytechnic Institute,"Sadar, Barisal",,,barisal.poly@gmail.com,BARISAL
42029,Barisal Technical School & college,Barisal,,,marfat1@yahoo.com,BARISAL
42028,"Barisal, Technical Training Center, Barisal",Barisal,,,marfatnew@gmail.com,BARISAL
42070,Barishal Mohila Technical Training Centre,"C&B Road, Barishal",1819911361,,mttcbarisal@gmail.com,BARISAL
50413,"Barnamala Computer Training Center, Dhaka","Sa-66/3, Shadinota Sarani, Badda, Gulshan-1, Dhaka",1911470401,,barnamalacomputer@yahoo.com,DHAKA
54321,"Basa Technical Training Institute (BTTI), Tangail","Pekua, Tangail",1718370251,,1718370251,DHAKA
50671,"Bashundhara Training and Testing Center, Dhaka","Sheikh-er Jaiga, Khilgaon, Dhaka-1219",,,info@bashundhara-ttc.com,DHAKA
53187,"Beacon Knitwear Ltd, Salna, Gazipur","South Salna, Salna Bazar, Gazipur",1730007567,,beacon2 sanjoy@metrokd.com,DHAKA
